"title","location","price","product_url"
"&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;&lhblk;","",""
"Single Room to let / House Share","Kilburn, London","650.0","/p/single-room-flatshare/single-room-to-let-house-share/1146064701"
"Single room in SUBURB HOUSE","Whitechapel, London","718.905","/p/single-room-flatshare/single-room-in-suburb-house-/1146861849"
"Single studio all bills included , ensuite room with small kitchenette nw6","Kilburn, London","784.26","/p/single-room-flatshare/single-studio-all-bills-included-ensuite-room-with-small-kitchenette-nw6/1146857538"
"CAMDEN LOVERS! SUPER NICE ROOM AVAILABLE NOW IN YOUNG INTERNATIONAL FLATSHARE!","Camden Town, London","797.331","/p/single-room-flatshare/camden-lovers-super-nice-room-available-now-in-young-international-flatshare-/1146851230"
"VERY NICE ROOM AVAILABLE NOW CLOSE TO KING'S CROSS, YOUNG INTERNATIONAL FLAT-SHARE!","Kings Cross, London","797.331","/p/single-room-flatshare/very-nice-room-available-now-close-to-king-s-cross-young-international-flat-share-/1146850737"
"LOVELY ROOM IN A NICE FLAT,BILLS INCLUDED,FREE WI-FI,REGULAR CONTRACT,WELL CONNECTED!!!","Tower Hamlets, London","522.84","/p/single-room-flatshare/lovely-room-in-a-nice-flat-bills-included-free-wi-fi-regular-contract-well-connected-/1146850071"
"Single room in Hammersmith","Fulham, London","566.41","/p/single-room-flatshare/single-room-in-hammersmith/1146846148"
"FLATMATE WANTED IN SHOREDITCH!!! VERY NICE ROOM, FRIENDLY FLATMATES, PERFECT LOCATION!!!","Shoreditch, London","819.116","/p/single-room-flatshare/flatmate-wanted-in-shoreditch-very-nice-room-friendly-flatmates-perfect-location-/1146836681"
"NEED TO MOVE ASAP? SUPER NICE ROOM IN OLD STREET AVAILABLE NOW! ZONE 1","Old Street, London","819.116","/p/single-room-flatshare/need-to-move-asap-super-nice-room-in-old-street-available-now-zone-1/1146836111"
"FANTASTIC DOUBLE ROOM ENSUITE!!! available for couple!!!","Acton, London","958.54","/p/single-room-flatshare/fantastic-double-room-ensuite-available-for-couple-/1146834619"
"kensal rise single room","Queens Park, London","544.625","/p/single-room-flatshare/kensal-rise-single-room/1146832866"
"Single room available - Amazing location in Putney","Earls Court, London","583.838","/p/single-room-flatshare/single-room-available-amazing-location-in-putney-/1146831912"
"Islington","Islington, London","718.905","/p/single-room-flatshare/islington/1146830132"
"Fantastic double room for single use 3 min from Goldhawk road station available 02/01/2016","Shepherds Bush, London","653.55","/p/single-room-flatshare/fantastic-double-room-for-single-use-3-min-from-goldhawk-road-station-available-02-01-2016/1146824598"
"Single room in queen's park","Kilburn, London","566.41","/p/single-room-flatshare/single-room-in-queen-s-park/1146819967"
"Single room in Suburb House","Whitechapel, London","718.905","/p/single-room-flatshare/single-room-in-suburb-house-/1146818232"
"2 SINGLE ROOM IN THE SAME HOUSE! BETHNAL GREEN! 130&120!","Hackney, London","522.84","/p/single-room-flatshare/2-single-room-in-the-same-house-bethnal-green-130-120-/1146816417"
"BRIGHT SINGLE ROOM WITH DOUBLE BED MODERN FLAT IN KILBURN - NW2 - 165&#163;pw - ALL BILLS INCLUDED!(4T)","Kilburn, London","718.905","/p/single-room-flatshare/bright-single-room-with-double-bed-modern-flat-in-kilburn-nw2-165&#163;pw-all-bills-included-4t-/1146813409"
"Room to Rent Now in NW2 Willesden Green - All Bills Included! - Would Suit Professional/ Student","Kilburn, London","697.12","/p/single-room-flatshare/room-to-rent-now-in-nw2-willesden-green-all-bills-included-would-suit-professional-student-/1146809550"
"Single Room to Rent in Willesden Green NW2 - Available Now with All Bills Included -Close to Station","Kilburn, London","697.12","/p/single-room-flatshare/single-room-to-rent-in-willesden-green-nw2-available-now-with-all-bills-included-close-to-station/1146808977"
